CONTROL,ENGAGED ALONE,"ENGAGED WITH ""TRACK"" BUTTON","ENGAGED WITH ""STEP"" BUTTON","ENGAGED WITH ""CQ""BUTTON",PUSH or PUSH TURN (encoders only),NOTES,VALUES
COPY,nothing,copy track,copy step,copy seqeunce(everything in grid),not applicable,these are the buttons above the top screen that have no led or screen information ,
PASTE,nothing,paste track,"paste into step, 1 track may be pasted into 1 step",allows pasting of copied seqeunce into step grid,not applicable,,
SAVE,save sequence into step grid,,saves sequence into location,nothing,not applicable,,
LOAD,select saved sequence from step grid,,loads sequence saved into location,nothing,not applicable,,
,,,,,,,
MIDI FX SCREEN/ SYNTH SCREEN,ENGAGED ALONE,"ENGAGED WITH ""TRACK"" BUTTON","ENGAGED WITH ""STEP"" BUTTON","ENGAGED WITH ""CQ""BUTTON",PUSH or PUSH TURN (encoders only),NOTES,VALUES
HRM1,nothing,adds a note to the existing note on every step; represented in semitones,adds a note to the existing note on that step; represented in semitones,nothing,nothing,this is a tool used for creating chords. this also assist with the user being able to randomize chords as this can be included in the regeneration process,
HRM2,nothing,adds a note to the existing note on every step; represented in semitones,adds a note to the existing note on that step; represented in semitones,nothing,nothing,adds a second note,
HRM3,nothing,adds a note to the existing note on every step; represented in semitones,adds a note to the existing note on that step; represented in semitones,nothing,nothing,"adds a third note, these can be used creatively with the strum feature to create picking patterns",
STRM,nothing,assigns strum to all steps,assigns strum to that step,text changes to say TEMPO and user may use encoder to quickly adjust the master tempo,sets speed of strum,"postive vailes strum up through the available notes, negative values strums down through the notes. see the octopus reference guide for strum patterns. strum up is base note, harm1, harm2, harm3. strum down is harm3, harm 2, harm1, root note",
CONTROL,ENGAGED ALONE,"ENGAGED WITH ""TRACK"" BUTTON","ENGAGED WITH ""STEP"" BUTTON","ENGAGED WITH ""CQ""BUTTON",PUSH or PUSH TURN (encoders only),NOTES,VALUES
ECHO,nothing,offsets echo to all steps represented in time,sets echo time of that step,offsets echo of all tracks,push click switches between readout and resolution of delay time,this is midi echo. it is heavily based on the echo included in cubase by steinberg,
FBK,nothing,aoffsets feedback(repeat amount) to all steps,sets repeats of echo of that step,offsets feedback of all tracks,nothing,,
VEL,nothing,adds velocity offsets to each repeat of all steps,adds velocity offset per repeat for that step,offest echo velocity for all tracks,nothing,if you enter a value of -10 then that means each repeat will be a value of 10 velocity lower than the previous one. a positive value would increase the velocity per repeat,
PITCH,nothing,adds pitch offsets to each repeat of all steps,adds pitch offset per repeat of that step,offsets echo feedback pitch for all tracks,nothing,if you enter a value of -10 then that means each repeat will be a value of 10 semitones(midi notes)lower than the previous one. a positive value would increase the velocity per repeat,
CONTROL,ENGAGED ALONE,"ENGAGED WITH ""TRACK"" BUTTON","ENGAGED WITH ""STEP"" BUTTON","ENGAGED WITH ""CQ""BUTTON",PUSH or PUSH TURN (encoders only),NOTES,VALUES
lead,illuminates track button that is MASTER(default is track 1),selects track as leader,nothing,changes text to GLOBAL and allows user to access global setup menu,not applicable,"leader is a top down function, a second leader starts a new set of followers",
follow,illuminates track buttons that are SLAVED,selects tracks as followers,nothing,all tracks except leaders become followers,not applicable,"followers will normally reset to first stage in loop when leader reaches its first stage of loop.when a track is toggled off of leader or follower it is ""free run""",
1shot,illuminates tracks that are one shots,selects track as 1shot,selects the amount of times the 1shot plays through loop disregarding leader stage one reset then rests until  leader reaches step 1 of loop,all tracks except leaders become 1shots,not applicable,,
